Nombre de Evento	Organizador	Categoria	Asistentes	Año
UNAM Morelia Conversa	CCM	Ferias y Eventos		2020-2021
Dia de Puertas Abiertas del Posgrodo Conjunto de Ciencias MAtematicas UNAM-UMSNH	CCM	Ferias y Eventos		2020-2021
XXI Escuela de Verano en Matematicas	CCM	Ferias y Eventos		2020-2021
Festejo por el dia Internacional de la Mujer y la Niña en la Ciencia	CCM IM-UNAM ENES-UNAM	Ferias y Eventos	838	2020-2021
MAtematicas por un Mundo Mejor		Ferias y Eventos		2020-2021
Festejo por el Dia Internacional de la Mujer y la Niña en la Ciencia		Ferias y Eventos	838	2021-2022
Dia de Pi		Ferias y Eventos		2021-2022
Festejo por el Dia Internacional de las Mujeres en Matematicas		Ferias y Eventos	992	2021-2022
Matematicas por un Mundo Mejor		Ferias y Eventos		2021-2022
Ciclo de Cine Comentado: La Ciencia en el Septimo Arte.		Ferias y Eventos	114	2021-2022
Fiesta de las Ciencias y las Humanidades.		Ferias y Eventos		2021-2022
Noche de las Estrellas		Ferias y Eventos		2021-2022
Ciclo de Cine Conversado: Por Nosotras		Ferias y Eventos	64	2021-2022
11 va. Feria Infantil de Ciencias y Artes.		Ferias y Eventos		2021-2022
Escuela 1	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 2	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 3	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 4	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 5	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 6	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 7	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 8	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 9	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 10	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 11	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 12	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 13	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 14	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 15	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 16	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 17	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 18	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 19	CCM-IRyA	Visitas Guiadas	30	2017-2018
Escuela 20	CCM-IRyA	Visitas Guiadas	30	2017-2018
